set_number, price in €
42055, 259.2064444444444
42043, 386.8925
21030, 88.86904761904763
75187, 102.0990909090909
21042, 67.18625
21028, 35.7021875
60182, 40.595555555555556
75950, 25.587142857142858
75953, 53.242000000000004
70618, 186.37241379310342
42095, 59.45630434782609
42074, 33.37266666666667
21043, 36.04222222222222
21044, 37.070357142857155
75955, 67.05375
21309, 180.16561538461548
76108, 140.43
75938, 69.27304347826087
76105, 143.245
21315, 89.3276923076923
21313, 86.33729729729728
70657, 310.92999999999995
42078, 147.70780487804876
21046, 71.48230769230769
10255, 234.30263157894737
75948, 62.59322580645162
70670, 58.968666666666664
70820, 28.166666666666668
70829, 41.643076923076926
42096, 101.67618181818176
31084, 87.44699999999997
21045, 58.01800000000001
70606, 11.813333333333333
70620, 409.7890909090908
42080, 105.04235294117647
76131, 73.70529411764706
76122, 83.82444444444444
42030, 297.2129411764706
75954, 75.1109677419355
10243, 230.51567567567568
10256, 268.2733333333333
10260, 171.17874999999998
42063, 77.4211111111111
21317, 94.13684210526316
10265, 106.93714285714285
71040, 352.142962962963
75947, 52.261250000000004
10264, 175.74750000000003
75192, 704.2609090909092
75964, 30.269375000000004
10257, 244.79133333333328
76125, 48.844666666666654
10258, 99.58
10263, 66.075
60141, 136.1438888888889
75243, 111.4095652173913
75952, 50.4095
75958, 41.22428571428571
75199, 38.56909090909091
31097, 58.55285714285714
70425, 78.51411764705882
60197, 94.6795744680851
75930, 135.64625
42083, 257.68634146341464
21039, 45.033157894736846
10261, 274.6557692307692
10254, 93.48935483870967
60202, 42.47545454545455
71043, 421.78166666666675
40338, 27.299375
6313291, 13
31091, 20.15606060606061
70836, 15.975714285714284
70423, 40.794000000000004
21041, 49.545624999999994
71044, 274.398
31083, 44.80090909090909
5006065, 23.17833333333333
60223, 31.31269230769231
70839, 128.65111111111113
75810, 174.72545454545454
21318, 189.77288461538456
75159, 472.53999999999996
75244, 231.7204166666667
21034, 30.136400000000002
75181, 229.18090909090907
75945, 21.18166666666667
75253, 135.17
60198, 129.4146428571429
10907, 72.43882352941176
10889, 43.6925
10220, 85.78846153846152
40370, 30.448593750000004
80105, 120.06800000000001
31105, 37.55062500000001
42100, 313.13235294117646
21037, 84.30562499999999
10768, 18.733999999999998
10769, 26.14909090909091
75891, 13.5076
71717, 21.430909090909093
